"cancer",2906
"diabetes",1563
"depression",2024
"hiv",274
"acne",223
"aids",455
"stroke",484
"herpes",161
"arthritis",75
"breastcancer",209
"hepatitis",43
"autism",262
"lupus",49
"asthma",181
"back pain",90
"backpain",8
"headache",2450
"hpv",18
"obesity",109
"diarrhoea",0
"hypertension",13
"eczema",437
"constipation",24
"migraine",350
"insomnia",473
"meningitis",26
"lymphoma",27
"dementia",94
"copd",8
"influenza",19
"lung cancer",51
"leukemia",75
"chlamydia",34
"osteoporosis",7
"prostatecancer",11
"prostate cancer",29
"fibromyalgia",14
"multiple sclerosis",23
"heart disease",38
"rheumatoid arthritis",8
"endometriosis",19
"mentalillness",177
"colon cancer",138
"cystic fibrosis",56
"chickenpox",25
"lyme disease",20
"bipolar disease",0
"gonorhoeaa",0
"ovarian cancer",24
"cediac disease",0
"whooping cough",13
"kidneydisease",11
